"","cbsa_code","state_abbrev","cbsa_title","z_pindex","case_count","eff_gap","statefp","state","nom_state","cbsa_name","dists","nom_1_std_mean","nom_2_std_mean","nom_std_mean","dems","repubs","per_dem","per_rep","comp_avg","comp_sum","maj_min_avg","maj_min_sum","name","pop","black","white","hisp","dist_pop","ideal_dists","dist_ratio","party_bin","party","lib_city_cons_reps","cons_city_lib_reps","ideol_discrep","ideol_difference","abs_rep","abs_pew","ideol_diff_char","court"
"1",41940,"CA","San Jose, CA",-0.4356,125,"None",6,"California",-0.587,"San Jose",4,-0.6249,-0.3605,-1.411,4,0,1,0,0,0,0.75,3,"San Jose CA",1836911,52411,1095438,510396,704566,2.607,1.534,TRUE,"Dem",0,0,0.9754,0.9754,1.411,0.4356,"None","0"
"2",12420,"TX","Austin, TX",-0.211,160,"Repub",48,"Texas",0.511,"Austin",7,0.2021,0.166,0.7441,1,6,0.143,0.857,0,0,0.286,2,"Austin TX",1716289,134009,1435896,538313,701901,2.445,2.863,FALSE,"Repub",2,0,0.9551,0.9551,0.7441,0.211,"Conservative","1"
"3",14460,"MA","Boston, MA",-0.3572,344,"None",25,"Massachusetts",-1.259,"Boston",8,-0.6345,-0.1797,-1.276,8,0,1,0,0.125,1,0.125,1,"Boston MA",4134036,380797,3359417,402173,728849,5.672,1.41,TRUE,"Dem",0,0,0.9188,0.9188,1.276,0.3572,"None","0"
"4",12580,"MD","Baltimore, MD",0.0082,198,"Dem",24,"Maryland",-0.809,"Baltimore",7,-0.4591,-0.0744,-0.8245,6,1,0.857,0.143,0,0,0.286,2,"Baltimore MD",2710489,787247,1725232,123754,723741,3.745,1.869,TRUE,"Dem",0,1,0.8327,0.8327,0.8245,0.0082,"Liberal","1"
"5",17140,"OH","Cincinnati, OH",0.1686,136,"Repub",39,"Ohio",0.403,"Cincinnati",3,0.3751,0.0196,0.9752,0,3,0,1,0.333,1,0,0,"Cincinnati OH",1625406,244929,1310552,43226,723031,2.248,1.335,FALSE,"Repub",0,0,0.8066,0.8066,0.9752,0.1686,"None","1"
"6",38900,"OR","Portland, OR",-0.3474,136,"None",41,"Oregon",-0.792,"Portland",3,-0.5205,-0.2994,-1.1437,3,0,1,0,0.333,1,0,0,"Portland OR",1789580,58470,1522463,209125,769721,2.325,1.29,TRUE,"Dem",0,0,0.7963,0.7963,1.1437,0.3474,"None","0"
"7",47900,"MD","Washington, MD",-0.3114,175,"Dem",24,"Maryland",-0.809,"DC",5,-0.5989,-0.0489,-1.0905,5,0,1,0,0,0,0.2,1,"DC MD",2303870,837570,1192908,320201,723741,3.183,1.571,TRUE,"Dem",0,0,0.7791,0.7791,1.0905,0.3114,"None","1"
"8",41860,"CA","San Francisco, CA",-0.5886,404,"None",6,"California",-0.587,"San Francisco",10,-0.6301,-0.2924,-1.3634,10,0,1,0,0,0,0.6,6,"San Francisco CA",4335391,383318,2648314,938794,704566,6.153,1.625,TRUE,"Dem",0,0,0.7748,0.7748,1.3634,0.5886,"None","0"
"9",19100,"TX","Dallas, TX",0.0556,566,"Repub",48,"Texas",0.511,"Dallas",13,0.2204,0.2117,0.821,2,11,0.154,0.846,0.077,1,0.154,2,"Dallas TX",6426214,985272,4900005,1758738,701901,9.155,1.42,FALSE,"Repub",0,0,0.7654,0.7654,0.821,0.0556,"None","1"
"10",16740,"NC","Charlotte, NC",0.0739,118,"Repub",37,"North Carolina",0.472,"Charlotte",5,0.2041,0.1553,0.7391,1,4,0.2,0.8,0,0,0.2,1,"Charlotte NC",1881147,420551,1355359,188605,735829,2.557,1.955,FALSE,"Repub",0,0,0.6652,0.6652,0.7391,0.0739,"None","1"
"11",35620,"NY","New York, NY",-0.3783,932,"Repub",36,"New York",-0.775,"NYC",19,-0.5016,-0.1303,-0.9599,16,3,0.842,0.158,0.368,7,0.474,9,"NYC NY",13038826,2878426,8359040,3143598,719298,18.127,1.048,TRUE,"Dem",0,0,0.5816,0.5816,0.9599,0.3783,"None","1"
"12",47900,"VA","Washington, VA",-0.26,203,"Repub",51,"Virginia",0.275,"DC",7,0.0571,-0.0077,0.2965,2,5,0.286,0.714,0.143,1,0,0,"DC VA",959739,111624,731183,114728,730703,1.313,5.331,FALSE,"Repub",2,0,0.5565,0.5565,0.2965,0.26,"Conservative","1"
"13",26420,"TX","Houston, TX",0.0821,423,"Repub",48,"Texas",0.511,"Houston",10,0.1174,0.1805,0.582,3,7,0.3,0.7,0,0,0.4,4,"Houston TX",5920416,1051387,4307279,2096532,701901,8.435,1.186,FALSE,"Repub",0,0,0.4999,0.4999,0.582,0.0821,"None","1"
"14",38300,"PA","Pittsburgh, PA",0.0203,192,"Repub",42,"Pennsylvania",0.212,"Pittsburgh",5,0.0399,0.2871,0.5137,1,4,0.2,0.8,0,0,0,0,"Pittsburgh PA",2356285,198565,2077159,29969,707495,3.33,1.502,FALSE,"Repub",0,0,0.4934,0.4934,0.5137,0.0203,"None","1"
"15",42660,"WA","Seattle, WA",-0.3465,261,"None",53,"Washington",-0.352,"Seattle",7,-0.4673,-0.0672,-0.835,6,1,0.857,0.143,0.143,1,0,0,"Seattle WA",3439809,199600,2598056,309476,675337,5.093,1.374,TRUE,"Dem",0,0,0.4885,0.4885,0.835,0.3465,"None","0"
"16",26900,"IN","Indianapolis, IN",0.0574,146,"Repub",18,"Indiana",0.548,"Indianapolis",5,0.1353,0.0549,0.5113,1,4,0.2,0.8,0,0,0,0,"Indianapolis IN",1887877,279632,1523199,112448,722398,2.613,1.914,FALSE,"Repub",0,0,0.4539,0.4539,0.5113,0.0574,"None","1"
"17",12060,"GA","Atlanta, GA",0.0714,426,"Repub",13,"Georgia",0.517,"Atlanta",10,0.164,-0.0013,0.5223,3,7,0.3,0.7,0,0,0.3,3,"Atlanta GA",5286728,1743099,3151089,547894,694826,7.609,1.314,FALSE,"Repub",0,0,0.4509,0.4509,0.5223,0.0714,"None","1"
"18",16980,"IL","Chicago, IL",-0.2089,689,"None",17,"Illinois",-0.428,"Chicago",13,-0.3805,-0.0584,-0.6486,10,3,0.769,0.231,0.154,2,0.308,4,"Chicago IL",8586609,1533429,6307874,1838352,714688,12.014,1.082,TRUE,"Dem",0,0,0.4397,0.4397,0.6486,0.2089,"None","0"
