"","statefp","PVI","dem_chance","Non.Hispanic.White","African.American","Hispanic.Latino","Asian","Native.American","Pacific.Islander","minority_chance","z_pvi","cbsa_code","within_state","counter","msa","state","case.count","pew_z_cbsa","actual_dists","state","pew_z_state","cases_state","pvi_state","z_diff_cbsa","z_diff_state","pvi_bin","pew_bin","pvi_ratio","pew_ratio","tot_pop","dist_pop","ideal_dists","seat_ratio"
"1",13,-4.671,31.6734447464555,59.1652206332541,26.5615333233681,8.71188891489639,4.02729516797775,0.211745209541073,0.0392503247590001,30.1353086274695,-0.307232291525279,12060,1,1,"Atlanta","Georgia",423,-0.0627688642571154,10,"Georgia",-0.138479459647415,784,-0.34095474649904,0.244463427268163,0.202475286851625,"Conservative","Conservative",0.901094044532223,0.453272018947303,5286728,694826,7.60870779159099,0.760870779159099
"2",25,12.30875,92.4954276667941,78.6269638459958,5.55871389710007,7.61137719495668,5.65647854914179,0.159204470122142,0.0231808749483658,6.50595771738735,0.713183182987211,14460,0,1,"Boston","Massachusetts",335,0.465127976652144,8,"Massachusetts",0.379369547448113,563,0.707983207521163,0.248055206335067,0.32861366007305,"Liberal","Liberal",1.0073447723206,1.22605512166408,4134036,728849,5.67200613570163,0.709000766962704
"3",17,14.1392307692308,79.2239401537434,59.5008410606977,15.6600414109177,17.8054087678854,5.81147562299005,0.128498307759729,0.0226605727305372,33.0001889340598,0.82318780041212,16980,0,1,"Chicago","Illinois",664,0.230945693502697,13,"Illinois",0.0675374160536814,1089,0.448134674280401,0.592242106909423,0.380597258226719,"Liberal","Liberal",1.8369205679832,3.419522199652,8586609,714688,12.0144860414614,0.924191233958573
"4",48,-10.8407692307692,18.2121505587232,59.339885948712,12.3888177531352,22.3569384234825,4.18546681469777,0.44812306377602,0.0814734960114932,16.8714433359937,-0.678010895288464,19100,1,1,"Dallas","Texas",555,-0.0950422515803117,13,"Texas",-0.0730921528590738,2033,-0.360307097293342,0.582968643708152,0.287214944434269,"Conservative","Conservative",1.88175836774168,1.30030718569145,6426214,701901,9.15544214924897,0.704264780711459
"5",26,8.40428571428571,60.882403557692,70.8750827499483,20.4060273297067,3.38986569249857,3.56288879836295,0.30245946338362,0.0206356422886034,28.7113281979597,0.478540401036698,19820,1,1,"Detroit","Michigan",303,0.0373004766650454,7,"Michigan",-0.0377963689420124,775,0.0521591061609722,0.441239924371653,0.0899554751029846,"Liberal","Liberal",9.17462809964262,-0.986879896380316,4296250,707973,6.06838113882874,0.866911591261249
"6",48,-2.829,32.8247399851824,46.2488202468834,16.6854034928101,29.4565597754485,6.19608341659194,0.26691207439546,0.0473871728634297,29.6911230107638,-0.196535414124139,26420,1,1,"Houston","Texas",413,-0.0703204086633735,10,"Texas",-0.0730921528590738,2033,-0.360307097293342,0.126215005460765,0.287214944434269,"Conservative","Conservative",0.54546639686126,0.962078771970988,5920416,701901,8.43483055302671,0.843483055302671
"7",6,15.3027272727273,80.5241817766471,36.9043882550593,6.38590138398102,40.3042781907218,14.0219380785738,0.256805787602803,0.246965150716314,46.1119463405281,0.893109314963807,31080,1,1,"Los Angeles","California",880,0.302942144468363,22,"California",0.250055788055695,2948,0.747433664959208,0.590167170495444,0.497377876903513,"Liberal","Liberal",1.19490110873257,1.21149822935068,12828837,704566,18.2081408980848,0.827642768094763
"8",12,10.1666666666667,75.9077044120383,40.1445344624145,17.4064458797552,38.9175574362908,2.09353826311486,0.141639852760314,0.0330075567633028,54.3038748240609,0.584452490189694,33100,1,1,"Miami","Florida",379,0.324389237462718,9,"Florida",0.0430649305306182,1604,-0.0617355792818732,0.260063252726976,0.104800509812491,"Liberal","Liberal",-9.46702852695677,7.53256149413929,5564635,700029,7.94914924953109,0.883238805503455
"9",27,0.63625,42.0329246080749,86.2184856089824,4.29982702948694,3.68393093686868,3.63384077063585,0.934536476859291,0.0336112968128534,2.86737810242506,0.0117123352864476,33460,0,1,"Minneapolis","Minnesota",284,0.101554850761789,8,"Minnesota",-0.0256073219717027,474,0.0117123352864476,0.0898425154753414,0.0373196572581503,"Liberal","Liberal",1,-3.9658520666086,3223495,664360,4.85203052561864,0.60650381570233
"10",34,7.65363636363636,60.690771104592,61.0987685276243,12.1310964059867,16.7673594624638,8.44476639808928,0.12840918533877,0.0232794147580823,20.9850408166169,0.433429359158264,35620,0,1,"New York City","New Jersey",502,0.243762547413223,11,"New Jersey",0.207963875453129,696,0.458601398573216,0.189666811745041,0.250637523120087,"Liberal","Liberal",0.945111289469971,1.17213889615248,6471215,733958,8.81687371756967,0.801533974324515
