cbsa_code,statefp,countyfp,statecounty
10180,48,059,48059
10180,48,253,48253
10180,48,441,48441
10420,39,133,39133
10420,39,153,39153
10500,13,007,13007
10500,13,095,13095
10500,13,177,13177
10500,13,273,13273
10500,13,321,13321
10540,41,043,41043
10580,36,001,36001
10580,36,083,36083
10580,36,091,36091
10580,36,093,36093
10580,36,095,36095
10740,35,001,35001
10740,35,043,35043
10740,35,057,35057
10740,35,061,35061
10780,22,043,22043
10780,22,079,22079
10900,34,041,34041
10900,42,025,42025
10900,42,077,42077
10900,42,095,42095
11020,42,013,42013
11100,48,011,48011
11100,48,065,48065
11100,48,359,48359
11100,48,375,48375
11100,48,381,48381
11180,19,169,19169
11260,02,020,02020
11260,02,170,02170
11460,26,161,26161
11500,01,015,01015
11540,55,015,55015
11540,55,087,55087
11700,37,021,37021
11700,37,087,37087
11700,37,089,37089
11700,37,115,37115
12020,13,059,13059
12020,13,195,13195
12020,13,219,13219
12020,13,221,13221
12060,13,013,13013
12060,13,015,13015
12060,13,035,13035
12060,13,045,13045
12060,13,057,13057
12060,13,063,13063
12060,13,067,13067
12060,13,077,13077
12060,13,085,13085
12060,13,089,13089
12060,13,097,13097
12060,13,113,13113
12060,13,117,13117
12060,13,121,13121
12060,13,135,13135
12060,13,143,13143
12060,13,149,13149
12060,13,151,13151
12060,13,159,13159
12060,13,171,13171
12060,13,199,13199
12060,13,211,13211
12060,13,217,13217
12060,13,223,13223
12060,13,227,13227
12060,13,231,13231
12060,13,247,13247
12060,13,255,13255
12060,13,297,13297
12100,34,001,34001
12220,01,081,01081
12260,13,033,13033
12260,13,073,13073
12260,13,181,13181
12260,13,189,13189
12260,13,245,13245
12260,45,003,45003
12260,45,037,45037
12420,48,021,48021
12420,48,055,48055
12420,48,209,48209
12420,48,453,48453
12420,48,491,48491
12540,06,029,06029
12580,24,003,24003
12580,24,005,24005
12580,24,013,24013
12580,24,025,24025
12580,24,027,24027
12580,24,035,24035
12580,24,510,24510
12620,23,019,23019
12700,25,001,25001
12940,22,005,22005
12940,22,033,22033
12940,22,037,22037
12940,22,047,22047
12940,22,063,22063
12940,22,077,22077
12940,22,091,22091
12940,22,121,22121
12940,22,125,22125
