"","state_icpsr","district","nominate_dim1","nominate_dim2","party_code","statefp","st_name","state_abbrev","eff_gap","nom","nom_std","nom_1_std","nom_2_std","repub","dem","lib_cons","cbsa_name","cbsa_code","within_state","counter","nom_state","population","PVI","dem_chance","race_category","minority_chance","comp_count","maj_min","cbsa_title","z_pindex","lib_cons_str"
"1",61,1,-0.161,0.005,100,4,"Arizona","AZ","None",-0.1589209365,-0.49034828074292,-0.34385994083583,0.0382684320862654,FALSE,TRUE,0,"Phoenix",38060,1,1,0.038,710224,-2.46,32.48981104706,"Non-Hispanic White Majority",39.8499817857619,1,0,"Phoenix, AZ",0.0363,"Liberal"
"2",61,3,-0.598,-0.245,100,4,"Arizona","AZ","None",-0.6998741115,-1.60500158177587,-0.78085994083583,-0.211731567913735,FALSE,TRUE,0,"Phoenix",38060,1,1,0.038,710224,12.57,97.3452374680274,"Maj-Min (Latino)",75.9161021324239,0,1,"Phoenix, AZ",0.0363,"Liberal"
"3",61,4,0.611,-0.324,200,4,"Arizona","AZ","None",0.4762766852,0.818499062349542,0.42814005916417,-0.290731567913735,TRUE,FALSE,1,"Phoenix",38060,1,1,0.038,710224,-21.29,0.159554211521088,"Non-Hispanic White Majority",1.67056737126934,0,0,"Phoenix, AZ",0.0363,"Conservative"
"4",61,5,0.673,-0.272,200,4,"Arizona","AZ","None",0.5598989456,0.990805710877294,0.49014005916417,-0.238731567913735,TRUE,FALSE,1,"Phoenix",38060,1,1,0.038,710224,-14.57,1.17652011594826,"Non-Hispanic White Majority",1.94463509889274,0,0,"Phoenix, AZ",0.0363,"Conservative"
"5",61,6,0.631,-0.328,200,4,"Arizona","AZ","None",0.4946134344,0.856282587746159,0.44814005916417,-0.294731567913735,TRUE,FALSE,1,"Phoenix",38060,1,1,0.038,710224,-9.43,5.42504038430714,"Non-Hispanic White Majority",2.15134277270851,0,0,"Phoenix, AZ",0.0363,"Conservative"
"6",61,7,-0.421,0.12,100,4,"Arizona","AZ","None",-0.371102476,-0.927555906748494,-0.60385994083583,0.153268432086265,FALSE,TRUE,0,"Phoenix",38060,1,1,0.038,710224,22.97,99.9080266272958,"Maj-Min (Latino)",87.7009337714595,0,1,"Phoenix, AZ",0.0363,"Liberal"
"7",61,8,0.749,0.087,200,4,"Arizona","AZ","None",0.7851757049,1.45499650410029,0.56614005916417,0.120268432086265,TRUE,FALSE,1,"Phoenix",38060,1,1,0.038,710225,-13.39,1.68212909628364,"Non-Hispanic White Majority",2.28161373959438,0,0,"Phoenix, AZ",0.0363,"Conservative"
"8",61,9,-0.109,0.05,100,4,"Arizona","AZ","None",-0.088209365,-0.34464456693497,-0.29185994083583,0.0832684320862654,FALSE,TRUE,0,"Phoenix",38060,1,1,0.038,710224,3.98,77.0259684043374,"Non-Hispanic White Majority",10.6044946099934,1,0,"Phoenix, AZ",0.0363,"Liberal"
"9",71,1,0.559,0.075,200,6,"California","CA","None",0.5901859525,1.05321316826858,0.37614005916417,0.108268432086265,TRUE,FALSE,1,"Sacramento",40900,1,1,-0.587,702905,-11.04,3.34326116500435,"Non-Hispanic White Majority",1.65293503504064,0,0,"Sacramento, CA",-0.0763,"Conservative"
"10",71,2,-0.433,-0.501,100,6,"California","CA","None",-0.6413221627,-1.48435320400855,-0.615859940835831,-0.467731567913735,FALSE,TRUE,0,"San Francisco",41860,1,1,-0.587,702905,21.79,99.869078750353,"Non-Hispanic White Majority",8.81956914801907,0,0,"San Francisco, CA",-0.5886,"Liberal"
"11",71,3,-0.313,-0.099,100,6,"California","CA","None",-0.3541654573,-0.89265657594484,-0.49585994083583,-0.0657315679137346,FALSE,TRUE,0,"Sacramento",40900,1,1,-0.587,702906,4.72,80.8195227081594,"Non-Hispanic White Majority",11.0059540543379,1,0,"Sacramento, CA",-0.0763,"Liberal"
"12",71,4,0.745,-0.521,200,6,"California","CA","None",0.5283615833,0.925821851611532,0.56214005916417,-0.487731567913735,TRUE,FALSE,1,"Sacramento",40900,1,1,-0.587,702906,-10.19,4.27683941171836,"Non-Hispanic White Majority",1.63182767069161,0,0,"Sacramento, CA",-0.0763,"Conservative"
