statefp,district,cbsa_name,cbsa_code,within_state,counter
12,18,Miami,33100,1,1
12,20,Miami,33100,1,1
12,21,Miami,33100,1,1
12,22,Miami,33100,1,1
12,23,Miami,33100,1,1
12,24,Miami,33100,1,1
12,25,Miami,33100,1,1
12,26,Miami,33100,1,1
12,27,Miami,33100,1,1
12,6,Orlando,36740,1,1
12,7,Orlando,36740,1,1
12,8,Orlando,36740,1,1
12,9,Orlando,36740,1,1
12,10,Orlando,36740,1,1
12,11,Orlando,36740,1,1
12,15,Orlando,36740,1,1
37,8,Charlotte,16740,0,1
37,9,Charlotte,16740,0,1
37,10,Charlotte,16740,0,1
37,12,Charlotte,16740,0,1
37,13,Charlotte,16740,0,1
42,15,Pittsburgh,38300,1,1
42,13,Pittsburgh,38300,1,1
42,16,Pittsburgh,38300,1,1
42,14,Pittsburgh,38300,1,1
42,17,Pittsburgh,38300,1,1
42,18,Pittsburgh,38300,1,1
42,06,Philadelphia,37980,0,1
42,04,Philadelphia,37980,0,1
42,05,Philadelphia,37980,0,1
42,01,Philadelphia,37980,0,1
42,03,Philadelphia,37980,0,1
42,02,Philadelphia,37980,0,1
